FID,INTERACTION_ID,INTERACTIONS
460287,425901,379
460287,445335,378
460287,327165,377
460287,500614,377
460287,368514,377
460287,441509,377
460287,496668,375
473807,473807,375
460287,345093,374
324808,299163,373
499372,388302,373
460287,502325,372
460287,354088,371
324808,249121,370
532218,15141,370
460287,501177,370
509427,388302,369
324808,217689,368
460287,509654,367
509404,509404,366
460287,462971,365
508969,388302,365
195117,781098,365
402040,388302,363
460287,22761,362
402000,388302,362
460287,500425,362
473086,465748,362
460287,406674,362
324808,242090,361
460287,440498,359
324808,326067,358
460287,434449,358
460287,509047,357
460287,481404,357
460287,425933,356
460287,490427,355
443672,388302,355
533973,15141,355
657052,226690,354
509369,404804,352
460287,407704,352
460287,399908,351
519032,483595,349
460287,368056,349
598368,537227,349
460287,419155,348
243719,243719,347
812204,801202,347
504131,249237,346
460287,351598,345
460287,404330,345
460287,501095,344
460287,416294,344
460287,403537,344
460287,433599,344
460287,252936,344
13881,6821,342
460287,428361,342
702530,414258,342
460287,545107,341
460287,533379,340
460287,385793,340
460287,399892,340
324808,18763,340
460287,492181,340
438719,483595,339
523316,501087,339
537227,598368,338
11124,781098,338
460287,406564,338
460287,463031,338
460287,513839,338
758632,15141,337
324808,18408,337
460287,465823,336
460287,300485,336
460287,689634,333
324808,245681,333
460287,400074,333
324808,236111,333
460287,410409,333
460287,379634,332
460287,496785,332
460287,245958,332
324808,269084,331
460287,650888,331
460287,386450,331
460287,446821,331
460287,279477,330
460287,454563,330
782613,15141,329
786858,466926,329
460287,380660,329
506958,496726,329
460287,378416,329
435045,15141,327
786858,276958,327
460287,565125,327
537664,15141,326
460287,500619,326
460287,544105,326
324808,212202,326
460287,7418,325
786858,343581,324
460287,328883,324
460287,318849,322
460287,343971,322
460287,445864,321
816433,279037,319
460287,471324,319
460287,14253,318
321795,781098,318
460287,537946,317
773811,15141,317
460287,308625,316
460287,475023,316
786858,569529,315
506958,265323,314
460287,427905,314
460287,292927,314
460287,512534,314
305483,388302,314
511241,385955,313
324808,248473,313
460287,355271,312
460287,423518,312
460287,288578,312
782545,15141,311
533938,15141,311
460287,343997,311
504131,1768,310
758547,15141,309
473086,475955,308
812204,421722,308
460287,505078,308
460287,344062,308
443634,388302,307
460287,341208,305
324808,7941,305
733365,15141,305
786858,134068,305
460287,439313,305
460287,402461,305
533952,15141,304
460287,528697,304
816433,396484,304
460287,434641,304
786858,409137,303
537657,15141,303
460287,403573,302
509501,388302,302
509209,388302,302
460287,420145,302
460287,447233,302
746457,12741,301
460287,428395,300
765705,15141,300
816433,516028,299
460287,389808,299
816071,424006,299
512013,388302,299
460287,304465,299
460287,349331,298
816071,407704,298
515806,343261,298
460287,444841,297
786858,684698,297
773855,15141,297
460287,419939,296
690341,15141,296
460287,195117,296
533945,15141,296
460287,502568,295
460287,501794,295
460287,277952,295
460287,656278,295
460287,14260,294
509124,483595,293
460287,371154,291
460287,297066,290
786858,408808,290
492032,388302,290
324808,260903,290
773926,15141,290
460287,484488,290
758664,15141,289
460287,253127,289
460287,517379,289
460287,424419,289
460287,360822,288
773258,15141,288
786179,343261,287
460287,340560,287
460287,540118,287
482635,388302,286
533925,15141,286
460287,562555,286
480704,480704,286
460287,289420,285
460287,334811,285
460287,412043,285
816433,631749,285
786858,425657,285
460287,203666,284
780766,15141,284
758605,15141,284
460287,429240,283
780742,15141,283
780163,15141,283
509516,388302,283
460287,460742,283
737816,15141,282
460287,500253,282
324808,234524,282
460287,389234,282
816433,500235,282
509229,483595,281
510934,343261,280
766981,15141,280
460287,341438,279
460287,269775,279
460287,423068,278
460287,448079,278
449341,388302,278
786858,357355,276
533965,15141,276
460287,458337,276
460287,471160,276
460287,419836,275
460287,384650,275
460287,423995,275
460287,503190,274
460287,449301,274
460287,499373,274
460287,413614,274
510612,15141,273
789636,537227,273
460287,287806,273
638416,343261,273
411778,388302,273
460287,506059,272
460287,377742,272
324808,235866,271
542585,366713,270
248836,388302,270
230238,781098,270
786858,422945,270
786858,314845,270
460287,485123,268
816433,442770,268
460287,519844,268
740497,12741,268
324808,253395,268
460287,386264,267
324808,252017,267
460287,354795,267
460287,277172,266
780612,15141,266
460287,514941,265
460287,495170,265
460287,506853,265
460287,277059,264
786858,669527,264
460287,469844,264
786858,408783,264
765743,15141,263
460287,251596,263
460287,632577,263
780787,15141,263
460287,389207,262
460287,410785,262
508969,508969,262
308337,20910,262
460287,418270,261
740099,12741,261
786858,343779,261
786858,734279,261
816433,503286,260
816433,473065,260
460287,432671,259
786858,427358,259
460287,443036,259
746762,12741,259
460287,311223,259
320189,781098,259
460287,199347,258
510624,15141,258
448613,388302,258
728994,15141,258
742659,12741,257
509720,388302,257
460287,419222,257
767062,15141,257
460287,210201,256
381208,15141,256
460287,514136,256
816433,423311,256
450425,366713,255
816433,418456,255
324808,209724,255
780128,15141,254
816433,234616,254
460287,449848,254
460287,499442,253
516027,15141,253
742300,12741,253
780075,15141,253
767025,15141,253
324808,428323,253
460287,427595,253
786858,643414,252
460287,601461,252
733425,15141,252
738041,15141,251
780710,15141,251
456537,343261,251
460287,590111,251
816433,354220,250
816433,395131,250
460287,506483,250
401689,343261,250
460287,321484,250
460287,437357,249
460287,495081,249
460287,500184,249
460287,394641,249
825487,12741,248
738110,15141,248
786858,571176,248
460287,412843,248
252529,12800,247
460287,287758,247
816433,409573,247
786858,312494,246
816433,408746,246
783857,15141,246
460287,438414,246
816433,411778,245
816433,444156,245
780822,15141,245
816433,485585,245
780234,15141,244
9055,781098,244
460287,445210,244
460287,525467,244
532185,15141,243
460287,495504,243
460287,386491,243
460287,264401,243
460287,644212,243
460287,520126,243
460287,412647,243
816433,12626,242
816433,316454,242
460287,410334,242
816433,406493,242
816433,443863,242
816433,439799,242
460287,784830,242
427869,531162,242
740824,12741,240
222577,CA302AE894DBE2B2CC7D9FA5A155F3CFC414D127,240
460287,210628,240
364927,348539,239
789625,537227,239
528311,388302,239
782700,15141,239
460287,478311,239
786858,264740,238
816433,302505,238
428665,531162,237
460287,395662,237
816433,484256,237
816433,488848,237
460287,379730,237
533932,15141,237
427747,531162,236
801416,531162,236
429658,531162,236
463931,531162,236
786858,466688,235
816433,435085,235
430024,531162,235
816433,633693,235
460287,488602,235
427615,531162,235
429920,531162,235
463892,531162,235
429622,531162,235
816433,393452,235
429993,531162,235
460287,286404,235
430052,531162,234
460287,284460,234
460287,448320,234
463977,531162,234
458062,531162,234
816433,360623,234
458111,531162,233
11528,12193,233
816433,445359,233
532168,15141,233
816433,17356,233
516002,15141,233
816433,366075,233
737041,15141,233
387719,531162,232
816433,483322,232
460287,404913,232
786858,278060,232
786858,637962,232
429529,531162,231
460287,195775,231
488510,531162,231
816433,274563,231
460287,421924,231
816433,292423,230
424006,509369,230
816433,387283,230
514941,265323,230
460287,524157,230
460287,239828,230
460287,411763,230
816433,426178,229
816433,422233,229
816433,418296,229
324808,243055,229
816433,400074,229
460287,499579,228
460287,489857,228
463998,531162,228
816433,407705,228
511101,15141,228
324808,5713,228
488522,531162,228
460287,519325,227
460287,409857,227
428447,531162,227
460287,323555,227
460287,217261,227
816433,497341,227
786858,508855,227
288187,343261,227
324808,246089,226
460287,8447,226
532264,15141,226
460287,419242,226
460287,234568,226
324808,251230,226
460287,417735,226
816433,218142,226
460287,442664,225
193928,781098,225
816433,400227,225
460287,523317,225
816433,448920,225
460287,450425,225
540474,531162,225
816433,334811,224
460287,431880,224
460287,383106,224
816433,420229,224
460287,321795,223
816433,14511,223
473086,465639,223
460287,15351,223
816433,597941,223
509209,509209,222
457924,531162,222
460287,399875,222
324808,265246,222
786858,357761,221
460287,440092,221
460287,256829,221
460287,432326,221
460287,621418,221
460287,399883,221
480737,388302,221
816433,400198,221
816433,538388,220
816433,406815,220
324808,15513,220
816433,283144,220
480737,480737,220
460287,379818,220
460287,8433,220
786858,617331,220
247653,388302,220
460287,486560,219
460287,528182,219
460287,379199,219
460287,539,218
460287,402682,218
460287,439370,218
460287,411955,218
791026,388302,218
816433,419168,218
460287,345685,217
460287,423235,217
786858,201198,217
427462,343261,217
702258,343261,217
460287,280346,217
738073,15141,217
816433,405729,217
324808,235739,216
780842,15141,216
324808,234569,216
786858,453479,216
203666,781098,216
549019,12741,216
419991,390104,216
460287,535199,215
786858,14823,215
816433,350139,215
786858,327178,215
460287,19379,214
460287,573719,214
460287,218454,214
460287,694256,214
460287,377944,214
460287,444929,214
460287,292558,214
537227,789625,214
460287,439012,214
816433,309242,214
460287,511632,213
786858,195117,213
460287,391943,213
324808,330172,213
460287,693054,213
816433,500256,213
816433,368013,213
460287,414401,213
324808,235888,212
816433,590111,212
816433,326040,211
460287,698231,211
786858,705408,211
324808,237614,211
816433,390273,211
460287,305490,211
291628,388302,210
460287,400227,210
460287,455272,210
816433,462982,210
460287,547396,210
786858,510571,210
684515,388302,209
532230,15141,209
460287,378676,208
460287,308536,208
460287,653407,208
816433,500500,208
816433,456735,208
13338,781098,208
460287,314623,207
460287,354417,207
816433,439396,207
460287,447515,207
816433,401049,207
460287,214569,206
816433,315654,206
690583,245017,206
460287,385038,206
816433,342995,206
273587,343261,206
786858,333444,205
